Nové košické firmy - denný log

=== 2026-08-25 (nové od 2026-08-18) - 114 firiem ===
Eduard Pohl | Košice - mestská časť Západ | vznik: 2026-08-18 | ?
IĽJA GROUP s. r. o. | Košice - mestská časť Sever | vznik: 2026-08-19 | ?
staruch company s. r. o. | Košice - mestská časť Nad jazerom | vznik: 2026-08-19 | ?
INEstudio s. r. o. | Košice - mestská časť Juh | vznik: 2026-08-19 | ?
Kristián Kováč | Košice - mestská časť Nad jazerom | vznik: 2026-08-18 | ?
Brutus Studio s. r. o. | Košice - mestská časť Sever | vznik: 2026-08-19 | ?
Ing. Patrik Kölbel | Košice - mestská časť Sever | vznik: 2026-08-18 | ?
M2 Servis s. r. o. | Košice - mestská časť Šaca | vznik: 2026-08-19 | ?
Ladislav Ďurech | Košice - mestská časť Staré Mesto | vznik: 2026-08-18 | ?
Martin Jurčo | Košice - mestská časť Západ | vznik: 2026-08-18 | ?
Martin Fujak | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-19 | ?
Olach BAU, s. r. o. | Košice - mestská časť Košická Nová Ves | vznik: 2026-08-20 | ?
AUTO-VALAS Services s. r. o. | Košice - mestská časť Dargovských hrdinov | vznik: 2026-08-20 | ?
Účtovníctvo na mieru s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-20 | ?
Finea EU s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-20 | ?
Welh s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-20 | ?
Abso bar s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-20 | ?
Sense s. r. o. | Košice - mestská časť Sever | vznik: 2026-08-20 | ?
LocalMind s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-20 | ?
Práca Snov s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-20 | ?
KVH Services s. r. o. | Košice - mestská časť Dargovských hrdinov | vznik: 2026-08-20 | ?
VINTAU 1 s. r. o. | Košice - mestská časť Západ | vznik: 2026-08-20 | ?
Yana Rachkovska | Košice - mestská časť Juh | vznik: 2026-08-19 | ?
Patrik Bialko | Košice - mestská časť Krásna | vznik: 2026-08-20 | Osobná doprava vozidlom s vodičom na vyžiadanie
Petro Bainov | Košice - mestská časť Západ | vznik: 2026-08-20 | ?
Bohdan Pinchuk | Košice - mestská časť Západ | vznik: 2026-08-20 | ?
Provenance Systems s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-21 | ?
3KA Studio s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-21 | ?
COM GROUP REAL ESTATE s. r. o. | Košice - mestská časť Staré Mesto | vznik: 2026-08-21 | ?
TERRAVIS s. r. o. | Košice - mestská časť Nad jazerom | vznik: 2026-08-21 | ?
Krosienko | Košice - mestská časť Košická Nová Ves | vznik: 2026-08-18 | ?
BRAVON s. r. o. | Košice - mestská časť Sídlisko KVP | vznik: 2026-08-21 | ?
Nadiia Kovalchuk - NK Studio | Košice - mestská časť Staré Mesto | vznik: 2026-08-20 | ?
Norbert Furik | Košice - mestská časť Dargovských hrdinov | vznik: 2026-08-19 | ?
Patrik Urbanič | Košice - mestská časť Nad jazerom | vznik: 2026-08-20 | ?
Dávid Baldys - stavebné práce | Košice - mestská časť Sídlisko Ťahanovce | vznik: 2026-08-19 | ?
Trung Nguyen 81 s. r. o. | Košice - mestská časť Juh | vznik: 2026-08-21 | ?
