ico	nazov	mesto	vznik
57842809	Eduard Pohl	Košice - mestská časť Západ	2026-08-18
57827940	IĽJA GROUP s. r. o.	Košice - mestská časť Sever	2026-08-19
57833427	staruch company s. r. o.	Košice - mestská časť Nad jazerom	2026-08-19
57810681	INEstudio s. r. o.	Košice - mestská časť Juh	2026-08-19
57842078	Kristián Kováč	Košice - mestská časť Nad jazerom	2026-08-18
57820104	Brutus Studio s. r. o.	Košice - mestská časť Sever	2026-08-19
57843406	Ing. Patrik Kölbel	Košice - mestská časť Sever	2026-08-18
57772541	M2 Servis s. r. o.	Košice - mestská časť Šaca	2026-08-19
57845361	Ladislav Ďurech	Košice - mestská časť Staré Mesto	2026-08-18
57845409	Martin Jurčo	Košice - mestská časť Západ	2026-08-18
57846022	Martin Fujak	Košice - mestská časť Sídlisko KVP	2026-08-19
57805962	Olach BAU, s. r. o.	Košice - mestská časť Košická Nová Ves	2026-08-20
57794715	AUTO-VALAS Services s. r. o.	Košice - mestská časť Dargovských hrdinov	2026-08-20
57817162	Účtovníctvo na mieru s. r. o.	Košice - mestská časť Západ	2026-08-20
57816026	Finea EU s. r. o.	Košice - mestská časť Sídlisko KVP	2026-08-20
57828482	Welh s. r. o.	Košice - mestská časť Sídlisko KVP	2026-08-20
57835179	Abso bar s. r. o.	Košice - mestská časť Sídlisko KVP	2026-08-20
57821411	Sense s. r. o.	Košice - mestská časť Sever	2026-08-20
57822301	LocalMind s. r. o.	Košice - mestská časť Sídlisko KVP	2026-08-20
57835489	Práca Snov s. r. o.	Košice - mestská časť Staré Mesto	2026-08-20
57814163	KVH Services s. r. o.	Košice - mestská časť Dargovských hrdinov	2026-08-20
57816719	VINTAU 1 s. r. o.	Košice - mestská časť Západ	2026-08-20
57846693	Yana Rachkovska	Košice - mestská časť Juh	2026-08-19
56102488	Patrik Bialko	Košice - mestská časť Krásna	2026-08-20
57846235	Petro Bainov	Košice - mestská časť Západ	2026-08-20
57846359	Bohdan Pinchuk	Košice - mestská časť Západ	2026-08-20
57774404	Provenance Systems s. r. o.	Košice - mestská časť Staré Mesto	2026-08-21
57794812	3KA Studio s. r. o.	Košice - mestská časť Staré Mesto	2026-08-21
57823588	COM GROUP REAL ESTATE s. r. o.	Košice - mestská časť Staré Mesto	2026-08-21
57787689	TERRAVIS s. r. o.	Košice - mestská časť Nad jazerom	2026-08-21
57842582	Krosienko	Košice - mestská časť Košická Nová Ves	2026-08-18
57830894	BRAVON s. r. o.	Košice - mestská časť Sídlisko KVP	2026-08-21
57849382	Nadiia Kovalchuk - NK Studio	Košice - mestská časť Staré Mesto	2026-08-20
57849072	Norbert Furik	Košice - mestská časť Dargovských hrdinov	2026-08-19
57845964	Patrik Urbanič	Košice - mestská časť Nad jazerom	2026-08-20
57849668	Dávid Baldys - stavebné práce	Košice - mestská časť Sídlisko Ťahanovce	2026-08-19
57836728	Trung Nguyen 81 s. r. o.	Košice - mestská časť Juh	2026-08-21
57835071	JKV GROUP divízia Košice s. r. o.	Košice - mestská časť Nad jazerom	2026-08-22
57851859	Jakub Göbl	Košice - mestská časť Pereš	2026-08-21
57816778	Clonix s. r. o.	Košice - mestská časť Dargovských hrdinov	2026-08-22
56776764	Alexander Harviľak	Košice - mestská časť Krásna	2026-08-21
57822115	VNIL s. r. o.	Košice - mestská časť Sever	2026-08-22
57831840	Taurius Labs s. r. o.	Košice - mestská časť Nad jazerom	2026-08-22
57832765	Družstvo Do & Phan	Košice - mestská časť Staré Mesto	2026-08-22
57834598	Maximalizuj s. r. o.	Košice - mestská časť Košická Nová Ves	2026-08-22
57827001	FaceLab s. r. o.	Košice - mestská časť Krásna	2026-08-22
57775150	PATO ADVISORY GROUP, s. r. o.	Košice - mestská časť Staré Mesto	2026-08-22
57823413	Humanus s. r. o.	Košice - mestská časť Sídlisko Ťahanovce	2026-08-22
57831602	MPATech s. r. o.	Košice - mestská časť Západ	2026-08-22
57826811	Vasix s. r. o.	Košice - mestská časť Juh	2026-08-22
57832773	Lipstaving s. r. o.	Košice - mestská časť Západ	2026-08-22
57837180	PATRiX ELEKTRO s. r. o.	Košice - mestská časť Nad jazerom	2026-08-22
